CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Cluster,ClusterName
636004.0,11,19,18452.0,3,4,4,2,High Value
636005.0,11,12,6291.0,3,4,4,2,High Value
636006.0,1,14,9645.0,4,4,4,2,High Value
636007.0,10,10,4172.0,3,4,3,2,High Value
636008.0,8,12,7761.0,3,4,4,2,High Value
636009.0,37,4,1918.0,2,3,2,0,Low Value
636010.0,9,2,609.0,3,2,1,1,Lost
636011.0,75,1,967.0,1,1,2,1,Lost
636012.0,49,1,399.0,2,1,1,1,Lost
636014.0,78,2,798.0,1,2,1,1,Lost
636015.0,25,2,838.0,2,2,2,1,Lost
636016.0,2,16,11607.0,4,4,4,2,High Value
636030.0,46,2,1270.0,2,2,2,1,Lost
636102.0,1,4,3687.0,4,3,3,2,High Value
636103.0,42,2,1234.0,2,2,2,1,Lost
636105.0,3,2,2468.0,4,2,3,0,Low Value
636108.0,8,3,1857.0,3,3,2,0,Low Value
636111.0,71,1,295.0,1,1,1,1,Lost
636112.0,45,1,345.0,2,1,1,1,Lost
636115.0,82,1,459.0,1,1,1,1,Lost
636119.0,16,1,775.0,3,1,1,1,Lost
636121.0,77,1,471.0,1,1,1,1,Lost
636140.0,42,2,1667.0,2,2,2,1,Lost
636141.0,9,4,2479.0,3,3,3,0,Low Value
636201.0,84,1,1126.0,1,1,2,1,Lost
636203.0,41,3,1252.0,2,3,2,0,Low Value
636204.0,27,1,544.0,2,1,1,1,Lost
636302.0,15,3,2973.0,3,3,3,0,Low Value
636303.0,90,1,333.0,1,1,1,1,Lost
636304.0,29,1,526.0,2,1,1,1,Lost
636308.0,16,8,4995.0,3,3,3,0,Low Value
636401.0,1,8,5681.0,4,3,3,2,High Value
636402.0,30,3,2835.0,2,3,3,0,Low Value
636403.0,90,1,449.0,1,1,1,1,Lost
636451.0,2,1,899.0,4,1,2,0,Low Value
636452.0,51,1,689.0,2,1,1,1,Lost
636453.0,8,1,353.0,3,1,1,1,Lost
636454.0,50,1,475.0,2,1,1,1,Lost
636455.0,60,1,518.0,1,1,1,1,Lost
